Company/Brand,Sector,HeadQuarter,Year,Investor,Amount
TurboHire,Recruitment startup,Hyderabad,2020,"Kia Ora Ventures, Pentathlon Ventures",1000000.0
Traya,Health,Mumbai,2020,"Kae Capital, Whiteboard Capital",0.0
Charcoal Eats,QSR startup,Mumbai,2020,Lokmat Investments,2000000.0
Mitron TV,Video platform,Bangalore,2020,9Unicorns,0.0
Svami,Food & Bevarages,Mumbai,2020,"Niren Shah, Rukam Capital Trust",800000.0
Dhurnia,EdTech,Dhingsara,2020,"Chandigarh Angels Network, Modulor Capital",100000.0
Expertrons,EdTech,Mumbai,2020,"Rohit Chanana, Sukanta Ganguly",0.0
Leena AI,Artificial Intelligence,New York,2020,"Alan Patricof, Jim Moffatt",8000000.0
Bizlog,Logistics,Bangalore,2020,IAN Fund,1000000.0
Tamasha.live,Gaming,Mumbai,2020,"9Unicorns, Titan Capital, FirstCheque",300000.0
Fedo,Artificial Intelligence,Bangalore,2020,AIM Smart City,1000000.0
FabHotels,Hospitality,Gurugram,2020,"RB Investments Pte. Ltd, Goldman Sachs",1000000.0
Freshokartz,Agriculture,Jaipur,2020,"Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0
FlexiLoans,Finance,Mumbai,2020,>Vikram Sud,6000000.0
Agrix,Agriculture,Patna,2020,Maple Capital Advisors,0.0
BharatAgri,Agriculture,Pune,2020,"021 Capital, India Quotient",0.0
FreshtoHome,E-Commerce,Bangalore,2020,"Ascent Capital, Iron Pillar",121000000.0
Credable,Finance,Mumbai,2020,Oaks Asset Management,4500000.0
Railofy,Transportation,Mumbai,2020,"Roots Ventures, Better Capital",5000000.0
Finova Capital,Finance,Jaipur,2020,"Sequoia Capital India, Faering Capital",55000000.0
Teachmint,EdTech,Bangalore,2020,Lightspeed India,3500000.0
Peel-Works,E-Commerce,Mumbai,2020,"CESC Ventures, Brun Raschle",3000000.0
Janani,Fertility tech,Bangalore,2020,9Unicorns,200000.0
Credgenics,Finance,Gurugram,2020,"Accel, Sunder Nookala",3300000.0
Finelistings,Luxury car startup,New Delhi,2020,Justdial,0.0
Wellversed,Healthcare,New Delhi,2020,"KLUB Works, Shankar Narayanan",0.0
Jumbotail,E-Commerce,Bangalore,2020,Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0
Winzo,Gaming startup,New Delhi,2020,"Makers Fund, Courtside Ventures",2000000.0
mCaffeine,Cosmetics,Mumbai,2020,"RPSG Ventures, Amicus Capital",5000000.0
Pocket FM,FM,Bangalore,2020,"Times Group, Lightspeed",5000000.0
Snackible,Healthcare,Mumbai,2020,"Mumbai Angels, Murali Nair",0.0
FreshtoHome,E-Commerce,Bangalore,2020,"Ascent Capital, Iron Pillar",16000000.0
Jumbotail,Retail,Bangalore,2020,"Nexus Venture Partners, Capria Ventures",11000000.0
Nykaa,E-Commerce,Mumbai,2020,"Katrina Kaif, Steadview Capital",0.0
TagZ Foods,Food,Bangalore,2020,"Exfinity Venture Partners, Shesh Kondi",0.0
Genius Teacher,EdTech,Mumbai,2020,"Sandeep Tandon, Daniel Lapus",2000000.0
Krimanshi Feeds,Nutrition sector,Jodhpur,2020,"Rajasthan Venture Capital Fund, AIM Smart City",500000.0
Origo,Food,Gurugram,2020,Northern Arc Capital,4000000.0
GetVantage,Finance,Mumbai,2020,"Samyakth Capital, Venture Catalysts",5000000.0
Betterplace,Tech platform,Bangalore,2020,Jungle Ventures,10000000.0
Biddano,Healthcare,Mumbai,2020,Windrose Capital,600000.0
InVideo,Video,Mumbai,2020,"Base Partners, Sequoia Capital India",15000000.0
Arzooo,E-Commerce,Bangalore,2020,"3Lines, Jabbar Internet Group",7500000.0
Hubilo,Tech company,San Francisco,2020,"Nishant Rao, Jonathan Boutelle",4500000.0
BASIC Home Loan,Finance,Gurugram,2020,Picus Capital,5000000.0
Ketos,Artificial Intelligence,San Francisco,2020,"Citi Ventures, Illuminated Funds Group",18000000.0
SUGAR cosmetics,Cosmetics,Mumbai,2020,"A91 Partners, RB Investments Pte. Ltd",2000000.0
Signzy,Finance,Bangalore,2020,"GenNext Ventures, Contrarian Drishti Partners",5400000.0
Ahaguru,EdTech,Chennai,2020,Anand Mahindra,0.0
Tekion,Artificial Intelligence,San Ramon,2020,"Alliance Ventures, Storm Ventures",150000000.0
Brighteye Ventures,EdTech,Paris,2020,Tandem,5400000.0
EzeRx,Health,Kolkata,2020,"Indian Oil Corporation, Krishna Chakravarty",200000.0
VitalTech,HeathTech,Plano,2020,Tech Mahindra,3000000.0
Genius Teacher,EdTech,Mumbai,2020,"Whiteboard Capital, VKG Ventures LLP.",2000000.0
Ultraviolette Automotive,Automobiles,Bangalore,2020,TVS Motor Company,4000000.0
Tring,Social Media,Mumbai,2020,"Sujeet Kumar, Hemesh Singh",1680000.0
Rare Planet,Retail startup,Kolkata,2020,Venture Catalysts,400000.0
GoodGamer,Gaming,Bangalore,2020,Undisclosed,2500000.0
InnAccel,Health,Bangalore,2020,Mount Judi Ventures,1500000.0
Tiliter,Retail,Sydney,2020,"AngelList, Investec",7500000.0
Slintel,Sles and marketing,San Francisco,2020,"Accel, Stellaris Venture Partners",4200000.0
SoOLEGAL,LegalTech,New Delhi,2020,Undisclosed,4000000.0
HobSpace,EdTech,Mumbai,2020,Artha Venture,200000.0
Supplynote,SaaS,Noida,2020,"MOX, SOSV",500000.0
Hire Me Car,Car Service,Noida,2020,Undisclosed,0.0
ShopUp,E-Commerce,Bangladesh,2020,"Flourish Ventures, Lonsdale Capital",22000000.0
Harmonizer India,Information Technology,Bangalore,2020,Kapil Dev,0.0
Zomato,FoodTech,Gurugram,2020,"Kora, Tiger Global Management",52000000.0
Dukaan,Information Technology,Mumbai,2020,"Lightspeed, Matrix Partners.",6000000.0
CredR,E-Commerce,Mumbai,2020,"Eight Roads Ventures, On Mauritius",2000000.0
Satyukt,Agri tech,Bangalore,2020,"NABVENTURES, Social Alpha (India)",500000.0
RACEnergy,Automobiles,Hyderabad,2020,"growX Ventures, Huddle (Incubator)",0.0
TREAD,Fitness startup,Bangalore,2020,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0
Anveshan,FoodTech,Bangalore,2020,Titan Capital,100000.0
TeaMonk,Food & Bevarages,Bangalore,2020,"Lead Angels Network, Roots Ventures",900000.0
Fleetx,Information Technology,Gurugram,2020,"Rohit Bansal, Rohan Ranavat",3000000.0
ReNEWate,Real Estate,Pune,2020,Real Estate Accelerator Program,0.0
Tango Eye,SaaS,Chennai,2020,"Riso Investments, Lenskart",0.0
Rare Planet,Reatil startup,Kolkata,2020,Venture Catalysts,0.0
Avataa Me,AR platform,Bangalore,2020,Sequoia Capital India,7000000.0
Arrival,Energy,London,2020,"UPS Ventures, Hyundai Motor Company",118000000.0
Cover Genius,Finance,Sydney,2020,"King River Capital, Leap Capital",15000000.0
Phononic Vibes,Deeptech,Milano,2020,Undisclosed,2300000.0
MikeLegal,LegalTech,Gurugram,2020,"SOSV, Artesian",0.0
Clair,Finance,New York,2020,"Upfront Ventures, Walkabout Ventures",4500000.0
Gourmet Garden,Consumer Goods,Palmwoods,2020,Advent Partners,0.0
Miko,Artificial Intelligence,Mumbai,2020,"Stride Ventures, YourNest Venture Capital",3000000.0
Razorpay,Finance,Bangalore,2020,"Tiger Global Management, Sequoia Capital India",100000000.0
Ninjacart,Food,Bangalore,2020,"Syngenta Ventures, Walmart",30000000.0
Wow! Momo,Food,Kolkata,2020,"Tiger Global Management, William Bissell",5000000.0
Pepper Content,Content marketplace,Mumbai,2020,"Alok Mittal, Manan Maheshwari",4200000.0
LIVSPACE,Interior Design,Bangalore,2020,"Mercer Investments, Bessemer Venture Partners",4000000.0
Acculi Labs,Healthcare,Bangalore,2020,Startup Basket.,600000.0
Your MD,Healthcare,London,2020,"Orkla Ventures, Smedvig Capital",25000000.0
Antaios,Tech company,France,2020,Undisclosed,11000000.0
Unnati,Agriculture,Noida,2020,NABVENTURES,1700000.0
Disprz,EdTech,Chennai,2020,"Xseed Partners, InnoVen Capital",1600000.0
Uni,Finance,Mumbai,2020,"Lightspeed India Partners, Accel India",18500000.0
Credit Wise Capital,Finance,Mumbai,2020,Venture Catalysts,6000000.0
Chargebee,SaaS,San Francisco,2020,"Accel, Steadview Capital",55000000.0
Reliance Retail Ventures Ltd,Retail,Mumbai,2020,"Silver Lake, Mubadala Investment Company",70000000000.0
Winuall,EdTech,Bangalore,2020,"Amit Lakhotia, Akash Gehani",2000000.0
Genrobotics,Artificial Intelligence,Trivandrum,2020,Unicorn India Ventures,300000.0
Livve,Rental space,Cochin,2020,Undisclosed,1500000.0
Ergos,Agriculture,Samastipur,2020,"Aavishkaar Venture Capital, Chiratae Ventures",5000000.0
Krishitantra,Soil-Tech,Hyderabad,2020,"NABVENTURES, Omnivore",1000000.0
PakkaProfile,Recruitment startup,Bangalore,2020,Java Capital,0.0
Monet Networks,Artificial Intelligence,Irvine,2020,"SenseAI Ventures, EvoNexus",500000.0
Unocoin,Finance,Tumkur,2020,"Digital Finance Group, FundersClub",0.0
Pesto,EdTech,New Delhi,2020,"Sriharsha Majety, Rahul Jaimini",0.0
NirogStreet,Ayurveda tech,Gurugram,2020,"Wavemaker Partners, Subho Ray",2000000.0
Bambrew,Packaging solution startup,Bangalore,2020,Upsparks,0.0
Omnify,SaaS,San Francisco,2020,"Saurabh Arora, LD Sharma",0.0
Fanball XI,Gaming,New Delhi,2020,Foxhog Ventures,1000000.0
Treebo Hotels,Hospitality,Bangalore,2020,"Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0
GPS Renewables,Cleantech,Bangalore,2020,"Triodos, Caspian",3000000.0
Public,Social Media,New Delhi,2020,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",30000000.0
Legal Salah,LegalTech,Kolkata,2020,I2I Capitals,1000000.0
FanPlay,Gaming,New Delhi,2020,"Core91 Fund, Anupam Mittal",0.0
ECOSTP,Sanitation solutions,Bangalore,2020,Terwilliger Centre,19000000.0
Coralogix,SaaS,San Francisco,2020,"2B Angels, Janvest Capital Partners",25000000.0
Equiwatt,Tech company,Newcastle,2020,Rising Stars,300000.0
Reliance Retail Ventures,E-Commerce,Mumbai,2020,"General Atlantic, Kohlberg Kravis Roberts",800000000.0
Zhangmen,EdTech,Shanghai,2020,"CICC Alpha, VMS Asset Management",400000000.0
AgroWave,Agriculture,Gurugram,2020,Sekhar Puli,500000.0
Sapio Analytics,Tech company,Mumbai,2020,Undisclosed,150000.0
Taimei,Health,Jiaxing,2020,"Cowin Venture, ZSVC",176000000.0
Avanse Financial Services,Finance,Mumbai,2020,International Finance Corporation,15000000.0
Industry Buying,E-Commerce,New Delhi,2020,"BlackSoil, BEENEXT",15000000.0
Hopscotch,E-Commerce,Mumbai,2020,"Marc Lore, Rise Capital",25000000.0
Pristyn Care,Health,Gurugram,2020,"Sequoia Capital India, Hummingbird Ventures",11000000.0
WoodenStreet,Home Design,Rajastan,2020,"IAN Fund, Rajasthan Venture Capital Fund",1000000.0
ACKO,InsureTech,Mumbai,2020,"RPS Ventures, Intact Ventures",60000000.0
Farmers Fresh Zone,Agriculture,Kochi,2020,"Artha India Ventures, Nagaraja Prakasam",470000.0
Invento,AI Startup,Bangalore,2020,"Chiripal Group, Ratish Kumar Nair",0.0
Infurnia,Information Technology,Bangalore,2020,"Pallav Nadhani, Idein Ventures",240000.0
AnalytIQSports's SuperCric,Entertainment,Bangalore,2020,Undisclosed,0.0
Snowflake,Tech company,California,2020,"Salesforce Ventures, Dragoneer Investment Group",3000000000.0
GenieTalk,Tech company,Indore,2020,Undisclosed,750000.0
Classplus,EdTech,Noida,2020,"Spiral Ventures, Surge",10000000.0
Mobile Premier League,Entertainment,Bangalore,2020,"Sequoia Capital India, Times Internet",74000000.0
Fourth Partner Energy,Solar solution,Hyderabad,2020,"responsAbility, Grameen Impact India (GIII)",16000000.0
Flipkart,E-Commerce,Bangalore,2020,"Tencent Holdings, Walmart",62000000.0
Vivriti Capital,Finance,Chennai,2020,"Aspada, Creation Investments Capital Management, LLC",1000000.0
InsuranceDekho,Finance,Ludhiana,2020,GirnarSoft,20000000.0
BestDoc,Health,Kochi,2020,Undisclosed,2100000.0
Byju’s,EdTech,Bangalore,2020,"Owl Ventures, Tiger Global Management",500000000.0
Melorra,Jewellery startup,Bangalore,2020,"Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0
Reliance,Multinational conglomerate company,Mumbai,2020,"Facebook, Google, KKR, Silver Lake",2200000000.0
Inflexor Ventures,Finance,Mumbai,2020,Undisclosed,10000000.0
Pandorum,Deeptech startup,Bangalore,2020,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0
SpeakIn,Social Network,Noida,2020,Homage Ventures.,0.0
LetsUp,Publication,Mumbai,2020,Undisclosed,0.0
Newsreach,Publication,Gujarat,2020,Mumbai Angels,0.0
Dream11,Entertainment,Mumbai,2020,"Steadview Capital, Tencent Holdings",225000000.0
SignalX,SaaS platform,Hyderabad,2020,Undisclosed,750000.0
JetSynthesys,Information Technology,Mumbai,2020,"Adar C. Poonawalla, Kris Gopalakrishnan",40000000.0
Vesta Space Technology,Information Technology,Pune,2020,Undisclosed,10000000.0
Dozee,Health,Bangalore,2020,Undisclosed,1600000.0
Rebel Foods,Food,Pune,2020,Coatue Management,50000000.0
Nykaa,Fashion,Mumbai,2020,Steadview Capital,24700000.0
Ketto,Finance,Mumbai,2020,"Mumbai Angels, Redcliffe Capital",7700000.0
Suryoday,Finance,Mumbai,2020,"Gaja Capital, Kotak Life, Lok Capital",800000.0
SucSEED,Finance,Hyderabad,2020,"DR. Moti Vyas, Udit Goyal",1300000.0
Unacademy,EdTech,Bangalore,2020,"Nexus Venture Partners, Sequoia Capital",150000000.0
Strata,Real Estate,Bangalore,2020,"Propstack, SAIF Partners",19067328.0
3one4 Capital,Venture capital,Bangalore,2020,Undisclosed,100000000.0
WE-Hub,Entreprenurship,Hyderabad,2020,Undisclosed,0.0
Zomato,Food devlivery,Haryana,2020,"MacRitchie Investments, Baillie Gifford",62000000.0
Vicara,Information Technology,Bangalore,2020,Undisclosed,0.0
Gaana,Entertainment,Gurugram,2020,"Tencent Holdings, Times Internet",51000000.0
EM3 Agri,Agriculture,Noida,2020,"Global Innovation Fund, Soros Economic Development Fund",1000000.0
Plum,Cosmetics,Thane,2020,"Ronald Conway, Bay Partners",115000.0
Odwen,Warehouse,Noida,2020,Prospect Partners.,54000.0
Fasal,Agriculture,Bangalore,2020,"Omnivore, Zeroth.AI",20000.0
Trukky,Logistics,Ahmedabad,2020,Mumbai Angels.,0.0
BankBazaar,Online financial service,Chennai,2020,"Ramesh Srinivasan, Amazon",9000000.0
Specsmakers,Eyeglasses,Chennai,2020,Eight Roads Ventures,3000000.0
Grinntech,Battery design,Dehradun,2020,"Ashok Leyland, V Lakshmi Narayanan",2000000.0
CreditMantri,Online credit management startup,Chennai,2020,"Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0
Chai Waale,Beverage,Chennai,2020,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0
Deepsync,Information Technology,Bangalore,2020,Venkat Raju,300000.0
ConnectedH,Health,Gurugram,2020,Undisclosed,0.0
Reliance Retail,E-Commerce,Mumbai,2020,Silver Lake Partners,10220000.0
QShala,EdTech,Bangalore,2020,Undisclosed,300000.0
Pitstop,Car Service,Bangalore,2020,"Clairvest Group, Ontario Centres of Excellence",1020000.0
Zomato,Food devlivery,Haryana,2020,"MacRitchie Investments, Baillie Gifford",100000000.0
Customfit ai,SaaS,Bangalore,2020,Undisclosed,0.0
Nirmata,Information Technology,San Francisco,2020,"Damien Toledo, Jim Bugwadia, Ritesh Patel",0.0
Hire Me Car,TravelTech,Noida,2020,US based NRI Investors,0.0
Oga Fit,Fitness startup,Bangalore,2020,"Inflection Point Ventures, Mitesh Shah",0.0
ShipsKart,E-Commerce,New Delhi,2020,Betatron,200000.0
SquadStack,Tech company,San Francisco,2020,"Chiratae Ventures, Blume Ventures",5000000.0
Financepeer,EdTech,Mumbai,2020,"Ravi Sanghvi, PitchRight Venture",3000000.0
Cashify,E-Commerce,Gurugram,2020,"Bessemer Venture Partners, CDH Investments",10000000.0
Etrio,Energy,Hyderabad,2020,HNIs,3000000.0
Codeyoung,EdTech,Bangalore,2020,Guild Capital,0.0
StayQrious,EdTech,Bangalore,2020,Y Combinator,2000000.0
Sunstone Eduversity,EdTech,Gurugram,2020,Prime Venture Partners,3000000.0
Infilect,SaaS,Bangalore,2020,"Mela Ventures, 1Crowd",1500000.0
MobiGarage,E-Commerce,New Delhi,2020,Undisclosed,0.0
Samunnati,Agriculture,Chennai,2020,"responsAbility, Accel",20000000.0
WeInnovate Biosolutions,Startup laboratory,Pune,2020,Chiratae ventures,0.0
Yummy Corp,Food,Tangerang,2020,"Palm Drive Capital, Amatil X Ventures",12000000.0
Smallcase,Finance,Bangalore,2020,"Sequoia Capital India, Blume Ventures",13400000.0
Clairvolex,Information Technology,California,2020,"JF Mauritius SPV, IndusAge Partners",2000000.0
Assiduus,E-Commerce,Bangalore,2020,VC Firm K Partners,1000000.0
Brinton,Health,California,2020,"India Alternatives Private Equity Fund, Tata Capital",1300000.0
AFK Gaming,Entertainment,Mumbai,2020,Undisclosed,200000.0
Infarm,Agriculture,Berlin,2020,"Bonnier Ventures, Hanaco Venture Capital",170000000.0
Zuper,SaaS,Seattle,2020,"Gemba Capital, Gunderson Dettmer",1100000.0
mCaffeine,Personal care startup,Mumbai,2020,"RPSG Ventures, Amicus Capital",2900000.0
Origa,Finance,Andheri,2020,"500 Startups, ah! Ventures",2000000.0
GullyBuy Software,Information Technology,Pune,2020,Undisclosed,543000.0
Recordent,Finance,Hyderabad,2020,Undisclosed,0.0
MPL,Entertainment,Bangalore,2020,"Base Partners, GO Ventures",90000000.0
Penny,SaaS,Riyadh,2020,Undisclosed,1300000.0
Onsitego,Customer service company,Mumbai,2020,"Accel, Zodius Capital",30000000.0
Precily,SaaS  startup,California,2020,"Windrose Capital, Anil Advani",0.0
SmartClean,Information Technology,Singapore,2020,"Seeds Capital, AIM Smart City",3400000.0
ClanConnect,Marketing startup,New Delhi,2020,Undisclosed,600000.0
Servify,Service industry,Mumbai,2020,"Blume Ventures, Tetrao",23000000.0
ShareChat,Social media,Bangalore,2020,"Lightspeed venture partners, saif partners",40000000.0
Rephrase.ai,AI,Bangalore,2020,"Techstars Bangalore Accelerator, Techstars",1500000.0
Melorra,Finance,Bangalore,2020,"Shadows Holdings, Lightbox",8090000.0
FabHotels,Hospitality,Gurugram,2020,"RB Investments Pte. Ltd, Goldman Sachs",1030000.0
EkAnek,Information Technology,New Delhi,2020,"Lightspeed India Partners, Sequoia Capital India",5040000.0
Cub McPaws,Artificial Intelligence,Mumbai,2020,Venture Catalysts,800000.0
Zimyo,Human Resources,Gurugram,2020,"Abhishant Pant, Chiranth Patil",1500000.0
PumPumPum,Automobile,Gurugram,2020,Undisclosed,360000.0
Burgerama,Food Startup,Gurugram,2020,"Madison, Anicut",0.0
Moms Co,Health,Gurugram,2020,"DSG Consumer Partners, Saama Capital",8000000.0
DillyHub,Publication,Seoul,2020,"Kakao Ventures, Shinhan Capital",1400000.0
FPL Technologies,Finance,Pune,2020,"Matrix Partners India, Hummingbird Ventures",10000000.0
FITTR,Fitness startup,Pune,2020,Surge,2000000.0
Illumnus,EdTech Startup,Pune,2020,23 High Networth Individuals (HNIs).,100000.0
CashKaro,E-Commerce,Gurugram,2020,"Ratan Tata, Kalaari Capital",10000000.0
Newton School,EdTech Startup,Bangalore,2020,Nexus Venture Partners,650000.0
Airmeet,Information Technology,Bangalore,2020,"Global Founders Capital, Redpoint",12000000.0
Observe ai,Information Technology,San Francisco,2020,"01 Advisors, Steadview Capital",54000000.0
InCred,Finance,Mumbai,2020,"Pushpak Credit, Fiscal",5000000.0
Toppr,EdTech,Mumbai,2020,"Kaizenvest, Foundation Holdings",35000000.0
CarTrade,Automobile,Mumbai,2020,"Pincus, JP Morgan, Temasek, March Capital",42500000.0
LEAD School,EdTech,Mumbai,2020,"Westbridge Capital, Elevar Equity",28000000.0
Servify,Manufacturing,Mumbai,2020,"Blume Ventures, Tetrao",11370000.0
Lido Learning,EdTech,Mumbai,2020,"BAce Capital, Madhur Deora",7500000.0
Apna.co,Job portal,Bangalore,2020,"Lightspeed India, Sequoia Capital India",8000000.0
Quintype Technologies,Information Technology,Bangalore,2020,"IIFL Asset Management, Raghav Bahl",325000.0
Dunzo,Information Technology,Bangalore,2020,"Wes Schwalje, Alteria Capital",28000000.0
Entropik,AI Platform,Bangalore,2020,"IDFC-Parampara Fund, Bharat Innovation Fund",8000000.0
Livspace,Home Design,Bangalore,2020,"Mercer Investments, Nicholas Cator",9000000.0
Ultraviolette Automotive,Artificial Intelligence,Bangalore,2020,TVS Motor Company,410000.0
WinZO,Gaming,New Delhi,2020,"Makers Fund, Courtside Ventures",18000000.0
SenseHawk,Solar SaaS,Bangalore,2020,"Falcon Edge Capital, SAIF Partners",5000000.0
Railofy,WL & RAC protection,Mumbai,2020,Chiratae Ventures.,900000.0
Eloelo,E-Commerce,Bangalore,2020,Undisclosed,450000.0
Aibono,Agriculture,Bangalore,2020,"Menterra Venture Advisors, Rianta Capital",2000000.0
BuildPan,SaaS,Indore,2020,"Sunil Kumar Singhvi, Yusho Kawata",500000.0
Homelane,Home interior services,Bangalore,2020,"Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",8000000.0
MyGlamm,Fashion,Mumbai,2020,Bessemer Venture Partners,1000000.0
Aviom,Finance,New Delhi,2020,"Insitor Partners, C4D Partners",682000.0
Flinto,EdTech Startup,Chennai,2020,"Sinai Ventures, Y Combinator",7000000.0
WayCool,Agritech startup,Chennai,2020,"FMO, IndusInd Bank",5060000.0
YAP,API platform,Chennai,2020,"Jitendra Gupta, Better Capital",4050000.0
Big Bang Boom Solutions,Deep Tech,Chennai,2020,"Mumbai Angels, Defence Innovation Organisation",1050000.0
GUVI,EdTech Startup,Chennai,2020,"CBA Capital, Gray Matters Capital",800000.0
BluSmart,Electricity,Gurugram,2020,"Kalpavriksh, JITO Angel Network",7000000.0
Cell Propulsion,Energy,Bangalore,2020,"growX ventures, Sangam Ventures",0.0
MPL,Entertainment,Bangalore,2020,"Sequoia Capital India, Times Internet",50000000.0
Spoonshot,FMCG,Bangalore,2020,"SRI Capital, Techstars Farm to Fork Accelerator",1000000.0
Pulse,Finance,Mumbai,2020,Undisclosed,750000.0
Groww,Finance,Bangalore,2020,"Y Combinator, Ribbit Capital",30000000.0
i3 Systems,Insurance Tech,Mumbai,2020,"Hatanaka Yosuke, Minomiya Takeo",1050000.0
SOAL,EdTech,Mumbai,2020,"Krishnan Menon, Srinivas Kollipara",1000000.0
OckyPocky,EdTech,Gurugram,2020,"SucSEED Venture Partners, ah! Ventures",400000.0
Hippo Video,Video personalization,New York,2020,"Surge, Kae Capital",4000000.0
Hasura,Software Company,San Francisco,2020,"Nexus Venture Partners, Sam Lambert",25000000.0
Qapita,Finance,Singapore,2020,"Alto Partners, Mission Holdings",1080000.0
Sunday,Finance,Bangkok,2020,"SCB 10X, LINE Ventures",9000000.0
Gamezop,Gaming,Gurugram,2020,"Powerhouse ventures, Tracxn,",4300000.0
Phool,Biomaterial startup,Kanpur,2020,Kaplan Foundation,1400000.0
Chiratae Ventures,Venture capital,Bangalore,2020,Undisclosed,0.0
MedLife,Health,Bangalore,2020,Ivy Icon,6800000.0
IDfy,Information Technology,Mumbai,2020,"Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0
True Balance,Finance,Gurugram,2020,Balancehero,23000000.0
Bira91,Craft Beer,New Delhi,2020,Anicut Capital,764000.0
Max wholesale,E-Commerce,New Delhi,2020,"Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0
Craftsvilla,E-Commerce,Mumbai,2020,Supera Investments,409000.0
MechMocha,Entertainment,Bangalore,2020,"Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",292000.0
Mindhouse,Healthtech,Gurugram,2020,"GGV Capital, Sahi Barual",286000.0
DeepSync,Artificial Intelligence,Chandigarh,2020,"Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0
Eruditus,Education,Mumbai,2020,"Bertelsmann India Investments, Sequoia Capital India",825000000.0
Gradeup,Education,Noida,2020,"Times Internet, TLabs",546000.0
Tracxn,Investment,Bangalore,2020,"Saif partners, Accel partners, Sequoia capital",887000.0
Purple Style Labs,Fashion,Mumbai,2020,"Jitendra Gupta, Astarc Ventures.",43000.0
ProPhysio,Health,Bangalore,2020,Nestavera Ventures.,40900.0
Flickstree,Information Technology,Mumbai,2020,"MOX, Venture Catalysts",40900.0
Settl,TravelTech,Gurugram,2020,"Sojitz, SIG Global India Fund",0.0
Fanspole,Entertainment,Thane,2020,"Mohan Verma, Better Capital",0.0
Sarva,Healthcare,Mumbai,2020,"Shikhar Dhawan, Mantra Capital",0.0
Univ.ai,EdTech,Bangalore,2020,Kiran Mazumdar Shaw.,0.0
PurohitJi,Linguistic Spiritual,Bangalore,2020,Bhadresh,0.0
CredoLab,Information Technology,Singapore,2020,"GB Group, Walden International",7000000.0
Brick&Bolt,Construction,Bangalore,2020,"Meghna Agarwal, Navin Dhanuka",2200000.0
Grinntech,Battery manufacturer,Chennai,2020,"V Sumantran, V Lakshmi Narayanan",2000000.0
6Degree,Fashion,Mumbai,2020,"Keiretsu Forum, SucSEED Venture Partners",340000.0
Exprs,Telecommunications,Bangalore,2020,"Sweta Rau, Sandeep Kapoor",5660000.0
Bikayi,E-Commerce,Hyderabad,2020,Mantis ventures,2000000.0
Virtual Forest,Information Technology,Bangalore,2020,Napino Auto and Electronics Ltd,0.0
The Health company,Artificial Intelligence,Gurugram,2020,"VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0
TrulyMadly Matchmakers,Dating app,Gurugram,2020,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0
TrueFan,Media,Mumbai,2020,"Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0
Fanspole,Gaming,Mumbai,2020,Better Capital,0.0
BYJU'S,EdTech,Bangalore,2020,DST Global,122000000.0
Avail Finance,Finance,Bangalore,2020,"Alphawave, Matrix Partners",11635000.0
The Money Club,AI,New Delhi,2020,Venture Catalysts,0.0
Virohan,EdTech,Gurugram,2020,"Keiretsu Forum, Elea Foundation",2800000.0
OneCode,Social Commerce,Gurugram,2020,WaterBridge Ventures,0.0
Verloop.io,AI,Bangalore,2020,Alpha Wave incubation,5000000.0
Otipy,Agriculture,Bangalore,2020,Inflection Point Ventures,1000000.0
Evage,Transportation,Chandigarh,2020,Anand Shah,0.0
LEAD School,EdTech,Mumbai,2020,"WestBridge Capital, Elevar Equity",28000000.0
Trell,Information Technology,Bangalore,2020,"KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0
Captain Fresh,Food,Bangalore,2020,Ankur Capital,2300000.0
Teachmint,EdTech,Bangalore,2020,Better Capital,0.0
Pixxel,Aerospace,Bangalore,2020,"Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0
Habbit Health,Food,New Delhi,2020,"3one4 Capital, Angel list India",0.0
SmarterBiz,Information Technology,Bangalore,2020,"StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0
Able Jobs,HR,Bangalore,2020,"SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0
Vieroots,Healthtech,Kochi,2020,Suniel Shetty,0.0
Stack Finance,Finance,Bangalore,2020,"SOSV, MOX (Mobile Only Accelerator)",0.0
